Fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1/02/2024;697.1761599;690.1761599;690.1761599;690.1761599;690.1761599;697.1761599;679.1761599;690.1761599;690.1761599;690.1761599;690.1761599;690.1761599;690.1761599;697.1761599;697.1761599;697.1761599;698.1761599;697.1761599;698.1761599;698.1761599;698.1761599;697.1761599;690.1761599;690.1761599
2/02/2024;685.1761599;680.1761599;680.1761599;680.1761599;680.1761599;685.1761599;685.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;695.1761599;691.1761599;685.1761599
3/02/2024;681.1761599;664.6441599;611.5571599;611.5571599;611.5571599;611.5571599;664.6441599;664.6441599;664.6441599;664.6441599;681.1761599;682.1761599;681.1761599;681.1761599;681.1761599;681.1761599;684.1761599;684.1761599;700.6761599;705.1761599;700.6761599;684.1761599;684.1761599;681.1761599
4/02/2024;641.1761599;641.1761599;641.1761599;640.1761599;597.6321599;597.6321599;470.1761599;440.1761599;597.6321599;597.6321599;472.4221599;640.1761599;640.1761599;641.1761599;641.1761599;641.1761599;641.1761599;641.1761599;677.1761599;677.1761599;677.1761599;677.1761599;677.1761599;641.1761599
5/02/2024;545.5071599;545.5071599;440.1761599;421.1761599;515.1761599;612.1691599;634.1761599;639.1761599;639.1761599;639.1761599;639.1761599;640.6761599;639.1761599;639.1761599;686.1761599;686.1761599;686.1761599;686.1761599;686.1761599;686.1761599;686.1761599;686.1761599;639.1761599;639.1761599
6/02/2024;92.81615988;120.4561599;291.7461599;411.1761599;546.2611599;570.1761599;570.1761599;625.1761599;603.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;625.1761599;631.1761599;630.1761599;625.1761599;625.1761599;570.1761599
7/02/2024;552.1761599;551.1761599;533.1761599;494.1761599;533.1761599;552.1761599;551.1761599;565.1821599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;580.1761599;551.1761599;533.1761599
8/02/2024;92.81615988;92.81615988;92.81615988;92.81615988;92.81715988;400.9161599;220.1761599;400.9161599;505.1761599;455.1761599;506.1761599;506.1761599;506.1761599;506.1761599;555.1761599;555.1761599;585.1761599;565.1821599;565.1821599;585.1761599;585.1761599;555.1761599;549.1761599;505.1761599
9/02/2024;504.1431599;504.1431599;504.1431599;504.1431599;504.1431599;505.5001599;505.5001599;505.5001599;505.5001599;505.5001599;505.5001599;530.1761599;505.5001599;505.5001599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;505.5001599;505.5001599
10/02/2024;535.1761599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;510.6081599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;561.1761599;700.1761599;550.1761599;535.1761599;535.1761599;535.1761599
11/02/2024;545.1761599;545.1761599;545.1761599;545.1761599;545.1761599;545.1761599;520.6081599;520.6081599;496.1761599;520.6081599;520.6081599;520.6081599;529.1761599;545.1761599;545.1761599;545.1761599;545.1761599;545.1761599;562.1761599;562.1761599;562.1761599;562.1761599;562.1761599;562.1761599
12/02/2024;562.1761599;529.1761599;526.1761599;526.1761599;526.1761599;529.1761599;550.1761599;562.1761599;562.1761599;567.6111599;567.6111599;567.6111599;590.1761599;590.1761599;600.1761599;600.1761599;600.1761599;600.1761599;600.1761599;600.1761599;600.1761599;600.1761599;590.1761599;567.6111599
13/02/2024;593.1761599;552.1761599;552.1761599;552.1761599;551.1761599;593.1761599;593.1761599;610.1761599;593.1761599;593.1761599;593.1761599;610.1761599;610.1761599;610.1761599;610.1761599;612.1761599;612.1761599;612.1761599;612.1761599;612.1761599;612.1761599;612.1761599;610.1761599;593.1761599
14/02/2024;533.1761599;533.1761599;533.1761599;533.1761599;533.1761599;595.1761599;596.1761599;596.1761599;596.1761599;596.1761599;596.1761599;615.6321599;615.6321599;615.6321599;615.6321599;615.6321599;671.1761599;615.6321599;615.6321599;671.1761599;671.1761599;615.6321599;596.1761599;565.1761599
15/02/2024;550.1761599;550.1761599;550.1761599;550.1761599;550.1761599;550.1761599;550.1761599;550.1761599;555.1761599;555.1761599;590.1761599;600.1761599;590.1761599;590.1761599;650.1761599;711.1761599;711.1761599;650.1761599;615.1761599;650.1761599;650.1761599;600.1761599;590.1761599;550.1761599
16/02/2024;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;530.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;549.1761599;549.1761599;549.1761599;535.1761599;549.1761599;555.1761599;555.1761599;550.1761599;535.1761599;530.1761599
17/02/2024;600.1761599;600.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;555.1761599;599.1761599;599.1761599;599.1761599;599.1761599;555.1761599;555.1761599
18/02/2024;545.1761599;545.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;535.1761599;545.1761599;545.1761599;585.1761599;589.1761599;589.1761599;610.2901599;585.1761599;550.1761599
19/02/2024;555.1761599;550.1761599;540.1761599;530.7991599;540.1761599;555.1761599;555.1761599;555.1761599;555.1761599;565.1761599;579.1761599;585.1761599;585.1761599;585.1761599;590.1761599;590.1761599;590.1761599;590.1761599;610.2901599;610.2901599;610.2901599;610.2901599;579.1761599;555.1761599
20/02/2024;577.1761599;550.1761599;530.7991599;530.7991599;550.1761599;581.1761599;581.1761599;581.1761599;590.1761599;590.1761599;590.1761599;590.1761599;590.1761599;581.1761599;590.1761599;590.1761599;590.1761599;590.1761599;611.1761599;611.1761599;590.1761599;590.1761599;590.1761599;577.1761599
21/02/2024;601.2901599;601.2901599;601.2901599;601.2901599;601.1761599;601.2901599;601.2901599;601.2901599;601.2901599;601.2901599;601.2901599;601.2901599;601.1761599;601.1761599;601.1761599;601.2901599;601.2901599;601.1761599;601.2901599;601.2901599;601.2901599;601.2901599;601.2901599;592.1761599
