Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
3/02/2016;ANTIOQUIA;PORCE II;49.444;6,294,300.000;0.9493665158
3/02/2016;ANTIOQUIA;PORCE III;29.092;2,146,400.000;1.7171200000
3/02/2016;ANTIOQUIA;SAN CARLOS;10.499;1,378,200.000;0.6822772277
3/02/2016;ANTIOQUIA;TENCHE;2.713;741,600.000;0.9270000000
3/02/2016;CARIBE;SINU URRA;72.640;780,700.000;0.5826119403
3/02/2016;CENTRO;AMOYA;9.213;1,074,800.000;0.6593865031
3/02/2016;CENTRO;BETANIA CP;33.070;494,900.000;0.2280645161
3/02/2016;CENTRO;BOGOTA N.R.;0.000;;
3/02/2016;CENTRO;EL QUIMBO;53.460;2,175,900.000;0.3453809524
3/02/2016;CENTRO;PRADO;6.240;73,600.000;0.1168253968
3/02/2016;CENTRO;SOGAMOSO;101.001;3,162,600.000;0.5012044374
3/02/2016;ORIENTE;BATA;5.410;910,500.000;0.3809623431
3/02/2016;ORIENTE;CHUZA;0.000;;
3/02/2016;ORIENTE;GUAVIO;11.050;2,583,900.000;0.5641703057
3/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,639,300.000;0.4614160839
3/02/2016;VALLE;ALTOANCHICAYA;15.950;1,698,700.000;0.4133090024
3/02/2016;VALLE;CALIMA;2.700;121,300.000;0.2820930233
3/02/2016;VALLE;CAUCA SALVAJINA;24.990;595,400.000;0.1715850144
3/02/2016;VALLE;DIGUA;11.500;146,900.000;0.5065517241
3/02/2016;VALLE;FLORIDA II;4.310;86,200.000;0.5746666667
4/02/2016;ANTIOQUIA;A. SAN LORENZO;10.394;2,373,800.000;0.4654509804
4/02/2016;ANTIOQUIA;CONCEPCION;1.921;525,100.000;0.4039230769
4/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.700;1,011,400.000;0.5323157895
4/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
4/02/2016;ANTIOQUIA;GRANDE;8.473;2,657,500.000;0.3885233918
4/02/2016;ANTIOQUIA;GUADALUPE;10.057;2,749,000.000;0.7876790831
4/02/2016;ANTIOQUIA;GUATAPE;9.287;1,566,900.000;0.4389075630
