Fecha;Recurso;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh
2/02/2016;TERMOCANDELARIA 1;TCIG;803.080367;848.067;848.067
2/02/2016;TERMOCANDELARIA 2;TCIG;803.441367;856.547;856.547
2/02/2016;TERMOCENTRO CC;ISGG;354.756367;363.110;363.110
2/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
2/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
2/02/2016;TERMOSIERRAB;EPMG;347.983367;356.337;356.337
2/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
2/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
2/02/2016;URRA;EMUG;58.649367;67.003;67.003
2/02/2016;ZIPAEMG 2;ENDG;164.014367;172.368;172.368
2/02/2016;ZIPAEMG 3;ENDG;165.570367;173.924;173.924
2/02/2016;ZIPAEMG 4;ENDG;167.637367;175.991;175.991
2/02/2016;ZIPAEMG 5;ENDG;161.708367;170.062;170.062
3/02/2016;ALBAN;EPSG;591.646367;600.000;600.000
3/02/2016;BARRANQUILLA 3;GECG;334.161367;342.515;342.515
3/02/2016;BARRANQUILLA 4;GECG;333.254367;341.608;341.608
3/02/2016;BETANIA;ENDG;456.646367;465.000;465.000
3/02/2016;CALIMA;EPSG;860.075367;869.000;869.000
3/02/2016;CARTAGENA 1;ENDG;411.646367;420.000;420.000
3/02/2016;CARTAGENA 2;ENDG;352.646367;361.000;361.000
3/02/2016;CARTAGENA 3;ENDG;351.646367;360.000;360.000
3/02/2016;CHIVOR;CHVG;58.648367;67.002;67.002
3/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
3/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
3/02/2016;FLORES 1;TMFG;371.646367;380.000;380.000
3/02/2016;FLORES 4B;TMFG;325.602367;333.956;333.956
3/02/2016;GECELCA 3;GECG;163.897367;172.251;172.251
3/02/2016;GUAJIRA 1;GECG;190.232367;198.586;198.586
3/02/2016;GUAJIRA 2;GECG;183.701367;192.055;192.055
3/02/2016;GUATAPE;EPMG;391.646367;400.000;400.000
3/02/2016;GUATRON;EPMG;541.646367;550.000;550.000
3/02/2016;GUAVIO;ENDG;58.648367;67.002;67.002
3/02/2016;JAGUAS;ISGG;241.646367;250.000;250.000
3/02/2016;LA TASAJERA;EPMG;476.646367;485.000;485.000
3/02/2016;MERILECTRICA 1;CIVG;387.262367;395.616;395.616
3/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
3/02/2016;PAGUA;ENDG;461.646367;470.000;470.000
3/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
3/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
3/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
3/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
3/02/2016;PLAYAS;EPMG;860.078367;900.000;900.000
3/02/2016;PORCE II;EPMG;451.646367;460.000;460.000
3/02/2016;PORCE III;EPMG;471.646367;480.000;480.000
3/02/2016;PRADO;EPSG;860.073367;870.000;870.000
3/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
3/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
3/02/2016;SALVAJINA;EPSG;860.076367;880.000;880.000
3/02/2016;SAN CARLOS;ISGG;466.647367;475.001;475.001
3/02/2016;SOGAMOSO;ISGG;860.077367;1157.900;1157.900
3/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
3/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
3/02/2016;TEBSAB;GECG;332.825367;341.179;341.179
3/02/2016;TERMOCANDELARIA 1;TCIG;803.080367;858.323;858.323
3/02/2016;TERMOCANDELARIA 2;TCIG;803.441367;866.907;866.907
3/02/2016;TERMOCENTRO CC;ISGG;357.773367;366.127;366.127
3/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
3/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
3/02/2016;TERMOSIERRAB;EPMG;347.983367;356.337;356.337
3/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
3/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
3/02/2016;URRA;EMUG;58.649367;67.003;67.003
3/02/2016;ZIPAEMG 2;ENDG;163.102367;171.456;171.456
3/02/2016;ZIPAEMG 3;ENDG;163.646367;172.000;172.000
3/02/2016;ZIPAEMG 4;ENDG;164.146367;172.500;172.500
3/02/2016;ZIPAEMG 5;ENDG;161.523367;169.877;169.877
4/02/2016;ALBAN;EPSG;491.646367;500.000;500.000
4/02/2016;BARRANQUILLA 3;GECG;339.484367;347.838;347.838
4/02/2016;BARRANQUILLA 4;GECG;340.118367;348.472;348.472
4/02/2016;BETANIA;ENDG;860.076367;1000.000;1000.000
4/02/2016;CALIMA;EPSG;860.075367;869.000;869.000
4/02/2016;CARTAGENA 1;ENDG;426.132367;434.486;434.486
4/02/2016;CARTAGENA 2;ENDG;430.721367;439.075;439.075
4/02/2016;CARTAGENA 3;ENDG;432.952367;441.306;441.306
4/02/2016;CHIVOR;CHVG;470.336367;478.690;478.690
4/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
4/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
4/02/2016;FLORES 1;TMFG;346.646367;355.000;355.000
4/02/2016;FLORES 4B;TMFG;326.301367;334.655;334.655
4/02/2016;GECELCA 3;GECG;163.897367;172.251;172.251
4/02/2016;GUAJIRA 1;GECG;190.232367;198.586;198.586
4/02/2016;GUAJIRA 2;GECG;183.701367;192.055;192.055
4/02/2016;GUATAPE;EPMG;421.646367;430.000;430.000
4/02/2016;GUATRON;EPMG;741.646367;750.000;750.000
4/02/2016;GUAVIO;ENDG;58.648367;67.002;67.002
4/02/2016;JAGUAS;ISGG;58.648367;67.002;67.002
4/02/2016;LA TASAJERA;EPMG;541.646367;550.000;550.000
4/02/2016;MERILECTRICA 1;CIVG;351.646367;360.000;360.000
4/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
4/02/2016;PAGUA;ENDG;469.646367;478.000;478.000
4/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
4/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
4/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
4/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
4/02/2016;PLAYAS;EPMG;391.646367;400.000;400.000
4/02/2016;PORCE II;EPMG;481.646367;490.000;490.000
4/02/2016;PORCE III;EPMG;431.646367;440.000;440.000
4/02/2016;PRADO;EPSG;860.073367;870.000;870.000
4/02/2016;PROELECTRICA 1;PRIG;270.316367;278.670;278.670
4/02/2016;PROELECTRICA 2;PRIG;270.316367;278.670;278.670
4/02/2016;SALVAJINA;EPSG;860.077367;880.000;880.000
4/02/2016;SAN CARLOS;ISGG;450.647367;459.001;459.001
4/02/2016;SOGAMOSO;ISGG;860.078367;1157.900;1157.900
4/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
4/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
4/02/2016;TEBSAB;GECG;336.939367;345.293;345.293
4/02/2016;TERMOCANDELARIA 1;TCIG;802.395367;858.323;858.323
4/02/2016;TERMOCANDELARIA 2;TCIG;802.760367;866.907;866.907
4/02/2016;TERMOCENTRO CC;ISGG;358.149367;366.503;366.503
4/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
4/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
4/02/2016;TERMOSIERRAB;EPMG;347.983367;356.337;356.337
4/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
4/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
4/02/2016;URRA;EMUG;58.649367;67.003;67.003
4/02/2016;ZIPAEMG 2;ENDG;163.102367;171.456;171.456
4/02/2016;ZIPAEMG 3;ENDG;163.646367;172.000;172.000
4/02/2016;ZIPAEMG 4;ENDG;164.146367;172.500;172.500
