FechaHora,MPO_real,MPO_prediccion
2016-02-28 19:00:00,440.0,913.7546339966357
2016-02-28 20:00:00,416.0,913.7444063648582
2016-02-28 21:00:00,460.0,913.7547610998154
2016-02-28 22:00:00,459.0,913.7552118375897
2016-02-28 23:00:00,439.08,501.1586573086679
2016-02-29 00:00:00,487.0,514.7334390692413
2016-02-29 01:00:00,450.0,508.6135616451502
2016-02-29 02:00:00,430.0,512.3030536621809
2016-02-29 03:00:00,368.0,518.371485747397
2016-02-29 04:00:00,365.7,517.3765622936189
2016-02-29 05:00:00,451.0,542.3776135854423
2016-02-29 06:00:00,458.0,593.4758129492402
2016-02-29 07:00:00,470.0,640.4744249545038
2016-02-29 08:00:00,525.0,757.3696960434318
2016-02-29 09:00:00,560.0,907.3650837913156
2016-02-29 10:00:00,620.0,933.9642199836671
2016-02-29 11:00:00,845.0,933.9642418585718
2016-02-29 12:00:00,876.6,933.9742745868862
2016-02-29 13:00:00,876.6,933.9784725755453
2016-02-29 14:00:00,876.6,933.9780636578798
2016-02-29 15:00:00,876.6,933.9781449623406
2016-02-29 16:00:00,876.59,933.9780535884202
2016-02-29 17:00:00,875.5,933.978171646595
2016-02-29 18:00:00,876.6,933.9617103673518
2016-02-29 19:00:00,876.6,933.9627201668918
2016-02-29 20:00:00,876.6,933.9524928070605
2016-02-29 21:00:00,876.6,933.9628471061587
2016-02-29 22:00:00,876.6,933.9632973000407
2016-02-29 23:00:00,876.6,521.3667264021933
