Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
1/02/2024;ANTIOQUIA;A. SAN LORENZO;30.41;6916100;1.391569416
1/02/2024;ANTIOQUIA;CARLOS LLERAS;21.72;3298700;0.89638587
1/02/2024;ANTIOQUIA;CONCEPCION;2.98;856200;0.638955224
1/02/2024;ANTIOQUIA;DESV. EEPPM (NEC.PAJ.DOL);4.851;1393800;0.714769231
1/02/2024;ANTIOQUIA;ESCUELA DE MINAS;12.26;4659700;0.562086852
1/02/2024;ANTIOQUIA;GRANDE;12.108;4117000;0.567862069
1/02/2024;ANTIOQUIA;GUADALUPE;6.884;1977900;0.549416667
1/02/2024;ANTIOQUIA;GUATAPE;30.823;5252100;1.378503937
1/02/2024;ANTIOQUIA;ITUANGO;201.016;8684400;0.318927653
1/02/2024;ANTIOQUIA;NARE CP;7.469;2551400;0.685860215
1/02/2024;ANTIOQUIA;PORCE III;12.621;931600;0.862592593
1/02/2024;ANTIOQUIA;PORCE2 CP;13.911;1720800;0.500232558
1/02/2024;ANTIOQUIA;QUEBRADONA;0.173;31500;0.63
1/02/2024;ANTIOQUIA;SAN CARLOS;28.1;3620100;1.774558824
1/02/2024;ANTIOQUIA;SAN MIGUEL;50.21;1695300;1.153265306
1/02/2024;ANTIOQUIA;TENCHE;1.635;469800;0.559285714
1/02/2024;CALDAS;CAMPOALEGRE;3.53;469500;0.617763158
1/02/2024;CALDAS;CHINCHINA;8.189;1089100;0.531268293
1/02/2024;CALDAS;DESV. GUARINO;0.09;4200;0.002837838
1/02/2024;CALDAS;DESV. MANSO;0.75;35400;0.072244898
1/02/2024;CALDAS;ESTRELLA;0.688;77500;0.407894737
1/02/2024;CALDAS;MIEL I;52.61;2484200;0.655461741
1/02/2024;CALDAS;SAN EUGENIO;4.662;524900;0.624880952
1/02/2024;CALDAS;SAN FRANCISCO;2.614;211900;1.009047619
1/02/2024;CARIBE;SINU URRA;72.63;839300;0.5995
1/02/2024;CENTRO;AMOYA;9.14;1052400;0.683376623
1/02/2024;CENTRO;BETANIA CP;15.432;218400;0.1092
1/02/2024;CENTRO;BOGOTA N.R.;0;;
1/02/2024;CENTRO;CUCUANA;1.39;198400;0.42212766
1/02/2024;CENTRO;DESV. SAN MARCOS;0.59;84200;0.467777778
1/02/2024;CENTRO;EL QUIMBO;67.812;2740700;0.439919743
1/02/2024;CENTRO;PRADO;2.85;33800;0.0528125
1/02/2024;CENTRO;SOGAMOSO;73.44;2433700;0.375570988
1/02/2024;ORIENTE;BATA;7.15;1192300;0.520655022
1/02/2024;ORIENTE;BLANCO;0;;
1/02/2024;ORIENTE;CHUZA;0.41;157700;0.12616
1/02/2024;ORIENTE;DESV. BATATAS;1.774;419300;0.8386
1/02/2024;ORIENTE;DESV. CHIVOR;4.763;1125600;2.446956522
1/02/2024;ORIENTE;GUAVIO;14.615;3454000;0.975706215
1/02/2024;VALLE;ALTOANCHICAYA;20.24;2028200;0.522731959
1/02/2024;VALLE;CALIMA;0.19;8500;0.020238095
