Fecha;Region Hidrologica;Nombre Embalse;Volumen Útil Diario Mm3;Volumen Útil Diario Energía kWh;Volumen Útil Díario %;Volumen Mm3;Volumen Energía kWh;Volumen %
1/02/2016;ANTIOQUIA;AMANI;223.060;124489800.000;0.505;272.980;152350100.000;0.556
1/02/2016;ANTIOQUIA;MIRAFLORES;60.654;191891100.000;0.628;66.294;209734300.000;0.649
1/02/2016;ANTIOQUIA;PENOL;584.312;2386096500.000;0.582;652.782;2665700600.000;0.609
1/02/2016;ANTIOQUIA;PLAYAS;28.341;55344300.000;0.576;48.861;95415800.000;0.701
1/02/2016;ANTIOQUIA;PORCE II;53.032;78137300.000;0.557;100.482;148050200.000;0.704
1/02/2016;ANTIOQUIA;PORCE III;71.501;61054700.000;0.565;100.811;86082500.000;0.647
1/02/2016;ANTIOQUIA;PUNCHINA;34.780;52841300.000;0.719;42.980;65299500.000;0.759
1/02/2016;ANTIOQUIA;RIOGRANDE2;56.635;205590700.000;0.413;105.445;382775900.000;0.567
1/02/2016;ANTIOQUIA;SAN LORENZO;138.070;364974200.000;0.822;159.590;421860200.000;0.842
1/02/2016;ANTIOQUIA;TRONERAS;8.117;25679800.000;0.407;17.097;54089800.000;0.591
1/02/2016;CARIBE;URRA1;892.190;110988400.000;0.723;1228.940;152880100.000;0.783
1/02/2016;CENTRO;AGREGADO BOGOTA;415.423;1912441300.000;0.479;415.423;1912441300.000;0.479
1/02/2016;CENTRO;BETANIA;586.230;101535000.000;0.729;1081.560;187326200.000;0.832
1/02/2016;CENTRO;EL QUIMBO;1046.610;493058000.000;0.443;1492.050;702904800.000;0.532
1/02/2016;CENTRO;MUNA;4.936;22723400.000;0.406;5.306;24426700.000;0.423
1/02/2016;CENTRO;PRADO;63.980;8733300.000;0.152;394.000;53781000.000;0.525
1/02/2016;CENTRO;TOPOCORO;1057.590;383270600.000;0.389;1636.120;592929900.000;0.496
1/02/2016;ORIENTE;CHUZA;122.649;564626900.000;0.557;133.159;613010800.000;0.577
1/02/2016;ORIENTE;ESMERALDA;287.700;560410800.000;0.490;311.000;605796900.000;0.509
