Fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1/02/2016; 440.00 ; 425.00 ; 425.00 ; 425.00 ; 425.00 ; 440.00 ; 440.00 ; 440.00 ; 451.01 ; 451.01 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 451.01 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 451.01 ; 440.00 
2/02/2016; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 425.00 ; 480.00 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 480.00 ; 450.00 ; 416.00 
3/02/2016; 400.00 ; 400.00 ; 380.00 ; 380.00 ; 395.62 ; 460.00 ; 465.00 ; 470.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 470.00 ; 460.00 
4/02/2016; 440.00 ; 440.00 ; 434.49 ; 430.00 ; 440.00 ; 459.00 ; 459.00 ; 459.00 ; 459.00 ; 459.00 ; 478.00 ; 478.69 ; 478.00 ; 478.00 ; 478.69 ; 478.69 ; 478.00 ; 478.69 ; 478.69 ; 478.69 ; 478.69 ; 478.69 ; 459.00 ; 459.00 
5/02/2016; 450.00 ; 430.00 ; 400.00 ; 400.00 ; 430.00 ; 484.76 ; 460.00 ; 460.00 ; 484.76 ; 484.76 ; 484.76 ; 489.00 ; 484.76 ; 489.00 ; 489.00 ; 484.76 ; 484.76 ; 460.00 ; 484.76 ; 484.76 ; 484.76 ; 484.76 ; 460.00 ; 439.08 
6/02/2016; 450.00 ; 430.00 ; 430.00 ; 430.00 ; 430.00 ; 450.00 ; 450.00 ; 470.00 ; 480.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 480.00 ; 487.00 ; 487.00 ; 487.00 ; 565.15 ; 487.00 ; 487.00 
7/02/2016; 450.00 ; 450.00 ; 440.00 ; 440.00 ; 440.00 ; 440.00 ; 430.00 ; 440.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 478.50 ; 478.50 ; 478.50 ; 450.00 ; 450.00 
8/02/2016; 344.19 ; 350.00 ; 350.00 ; 346.60 ; 367.82 ; 439.08 ; 430.00 ; 450.00 ; 460.00 ; 465.00 ; 465.00 ; 466.00 ; 465.00 ; 465.00 ; 466.00 ; 465.00 ; 465.00 ; 460.00 ; 466.00 ; 478.50 ; 466.00 ; 465.00 ; 460.00 ; 430.00 
9/02/2016; 368.00 ; 364.05 ; 367.82 ; 364.05 ; 368.00 ; 368.00 ; 368.00 ; 368.00 ; 430.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 450.00 ; 439.08 ; 455.00 ; 455.00 ; 455.00 ; 465.00 ; 368.00 ; 368.00 
10/02/2016; 358.00 ; 358.00 ; 358.00 ; 358.00 ; 358.00 ; 430.00 ; 430.00 ; 430.00 ; 440.00 ; 440.00 ; 460.00 ; 460.00 ; 460.00 ; 460.00 ; 461.00 ; 461.00 ; 460.00 ; 461.00 ; 461.00 ; 472.69 ; 461.00 ; 461.00 ; 430.00 ; 365.70 
