Codigo SIC;Nombre Recurso;Capacidad Efectiva Neta [MW];Factor de Conversi�n;Es Menor;Tipo Despacho;Combustible por Defecto;Fecha Operaci�n;Municipio;Departamento;Agente Representante;Estado Recurso;Tipo Generaci�n;Clasificaci�n
2UPH;TEQUENDAMA 4;14.2;1;SI;ND;AGUA;3/04/2018;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
2UPF;TEQUENDAMA 3;14.2;1;SI;ND;AGUA;3/04/2018;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
2UPD;TEQUENDAMA 2;14.2;1;SI;ND;AGUA;3/04/2018;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
2UPJ;TEQUENDAMA 1;14.2;1;SI;ND;AGUA;3/04/2018;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
2U1G;LAS PALMAS;2.8;0.15;SI;ND;AGUA;30/08/2017;SANTA ROSADE OSOS;ANTIOQUIA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2TUV;LUZMA II;19.6;36;SI;ND;AGUA;7/10/2017;AMALFI;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2TUT;LUZMA I;19.6;37;SI;ND;AGUA;7/10/2017;AMALFI;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2T7D;AUTOG CANTAYUS;4.32;1;SI;ND;AGUA;20/05/2017;CISNEROS;ANTIOQUIA;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACI�N;HIDRAULICA;AUTOGENERADOR
2T4P;SAN MATIAS;19.9;10;SI;ND;AGUA;25/04/2017;COCORNA;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2T1L;EL MOLINO;19.9;10;SI;ND;AGUA;19/04/2017;COCORNA;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2SW1;EL EDEN;19.9;37;SI;ND;AGUA;2/03/2017;PENSILVANIA;CALDAS;PROELECTRICA S.A.S E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2SS2;MAGALLO;5.7;0;SI;ND;AGUA;22/12/2016;CONCORDIA;ANTIOQUIA;CENTRAL HIDROEL�CTRICA CONCORDIA S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2SDR;ALEJANDRIA;17;1;SI;ND;AGUA;2/03/2017;ALEJANDRIA;ANTIOQUIA;GENERADORA ALEJANDRIA S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2S9L;EL COCUYO;0.7;0.1;SI;ND;AGUA;20/05/2016;VERSALLES;VALLE DEL CAUCA;P.CH EL COCUYO SAS ESP;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
2S8U;PORCE III MENOR;1.8;0.892;SI;ND;AGUA;25/04/2016;ANORI;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2S8N;GUAVIO MENOR;9.9;0;SI;ND;AGUA;27/04/2016;UBALA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
2S6U;AUTOG ARGOS EL CAIRO;6.5;0;NO;ND;AGUA;29/09/2017;SANTA BARBARA;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;AUTOGENERADOR
2SI1;MORRO AZUL;19.9;11;SI;ND;AGUA;10/09/2016;BELEN DEUMBRIA;RISARALDA;RISARALDA ENERGIA S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
COE1;COELLO;1.2;0.001;SI;ND;AGUA;10/12/2016;COELLO;TOLIMA;ENERGETICA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2S78;LA FRISOLERA;0.47;0.5625;SI;ND;AGUA;29/04/2016;SALAMINA;CALDAS;GENERPUTUMAYO S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
PRV1;PROVIDENCIA;4.9;0.1;SI;ND;AGUA;30/09/2015;ANORI;ANTIOQUIA;HZ ENERGY S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
