MPO,FechaHora,Aportes Caudal m3/s,Aportes Energía kWh,Aportes %,Volumen Útil Diario Mm3,Volumen Útil Diario Energía kWh,Volumen Útil Díario %,Volumen Mm3,Volumen Energía kWh,Volumen %
510.6081599,2024-02-10 07:00:00,33.57968181818182,2349814.6341463416,0.8765796684390244,303.721875,382106308.3333333,0.5077281037083333,480.77104166666663,502186795.8333333,0.6144088939583333
520.6081599,2024-02-11 07:00:00,28.580090909090906,2015600.0,0.7392891162682926,301.1259166666667,379362958.3333333,0.5069735546666666,478.1750833333333,499443450.0,0.6128377397083333
562.1761599,2024-02-12 07:00:00,24.958568181818183,1886712.1951219512,0.7533340737560975,296.28304166666663,375362479.1666667,0.50218208525,473.3322083333333,495442979.1666667,0.608567930625
610.1761599,2024-02-13 07:00:00,22.436977272727272,1664229.268292683,0.6075349043170731,290.7452083333333,371281912.5,0.4992063942916667,467.794375,491362425.0,0.6063567611666666
596.1761599,2024-02-14 07:00:00,24.811204545454544,1758406.9767441861,0.6230314940232557,288.55941666666666,367413654.1666667,0.4858400016666667,465.60858333333334,487494166.6666667,0.5967673614166666
550.1761599,2024-02-15 07:00:00,21.326568181818182,1610409.5238095238,0.5807044187142857,285.50170833333334,363941225.0,0.4896559228333333,462.55087499999996,484021737.5,0.5995228695833333
530.1761599,2024-02-16 07:00:00,21.925318181818184,1786239.024390244,0.7099170748780488,283.7489166666667,360496550.0,0.4710759721666667,460.79808333333335,480577054.1666667,0.5850407465833333
555.1761599,2024-02-17 07:00:00,24.870795454545455,1780755.0,0.6933578972250001,281.93925,356945541.6666667,0.45761457062500005,458.98841666666664,477026050.0,0.5725713587083333
535.1761599,2024-02-18 07:00:00,25.723318181818183,1758714.6341463414,0.6594933833658536,280.55091666666664,354414570.8333333,0.47095909912499995,457.6000833333333,474495070.8333333,0.5828665917083333
555.1761599,2024-02-19 07:00:00,20.149272727272727,1542680.0,0.5805090709,276.2305,349951479.1666667,0.457699831,453.2796666666666,470031979.1666667,0.5717358799166666
