Fecha;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh;Recurso
2/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
2/02/2024;ENDG;100.1761599;100.00002;100;DARIO VALENCIA SAMPER
2/02/2024;ENDG;100.1761599;100.00001;100;EL QUIMBO
2/02/2024;HDPG;81.17615988;81.00001;81;ESCUELA DE MINAS
2/02/2024;EPMG;92.81615988;92.64001;92.64;ESMERALDA
2/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
2/02/2024;TMFG;470.1761599;470;470;FLORES I CC
2/02/2024;GECG;232.5641599;232.388;232.388;GECELCA 3
2/02/2024;GECG;226.9411599;226.765;226.765;GECELCA 32
2/02/2024;GECG;472.4221599;472.246;472.246;GUAJIRA 1
2/02/2024;GECG;546.0201599;545.844;545.844;GUAJIRA 2
2/02/2024;EPMG;89.96615988;89.79;89.79;GUATAPE
2/02/2024;EPMG;92.81715988;92.641;92.641;GUATRON
2/02/2024;ENDG;680.1761599;680;680;GUAVIO
2/02/2024;EPMG;92.81615988;92.64;92.64;ITUANGO
2/02/2024;ISGG;861.1761599;861;861;JAGUAS
2/02/2024;EPMG;89.96615988;89.79001;89.79;LA TASAJERA
2/02/2024;EPSG;968.5811599;968.405;968.405;MERILECTRICA 1
2/02/2024;ISGG;89.96615988;89.79003;89.79;MIEL I
2/02/2024;ENDG;685.1761599;685;685;PAGUA
2/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
2/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
2/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
2/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
2/02/2024;EPMG;92.81615988;92.64002;92.64;PLAYAS
2/02/2024;EPMG;701.1761599;701;701;PORCE II
2/02/2024;EPMG;702.1761599;702;702;PORCE III
2/02/2024;EPSG;691.1761599;691;691;PRADO
2/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
2/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
2/02/2024;ENDG;101.1761599;101;101;SALTO II
2/02/2024;EPSG;999.1761599;999;999;SALVAJINA
2/02/2024;ISGG;695.1761599;695;695;SAN CARLOS
2/02/2024;EPMG;92.81615988;92.64003;92.64;SAN FRANCISCO
2/02/2024;ISGG;89.96615988;89.79004;89.79;SAN MIGUEL
2/02/2024;ISGG;89.96615988;89.79002;89.79;SOGAMOSO
2/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
2/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
2/02/2024;TBSG;615.8331599;607.829;607.829;TEBSAB CC
2/02/2024;TCIG;666.2141599;666.038;666.038;TERMOCANDELARIA CC
2/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
2/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
2/02/2024;TEMG;1959.17117;1958.995;1958.995;TERMOEMCALI CC
2/02/2024;TMNG;960.1761599;960;960;TERMONORTE
2/02/2024;EPMG;1382.22316;1303.888;1303.888;TERMOSIERRA CC
2/02/2024;TMVG;475.1761599;475;475;TERMOVALLE CC
2/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
2/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL 2
2/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL G3
2/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL G4
2/02/2024;TYPG;100.1761599;100;100;TERMOYOPAL G5
2/02/2024;EPSG;228.0491599;227.873;227.873;TESORITO
2/02/2024;EMUG;740.1761599;740;740;URRA
2/02/2024;ENDG;411.1761599;411;411;ZIPAEMG 2
2/02/2024;ENDG;370.1761599;370;370;ZIPAEMG 3
2/02/2024;ENDG;390.1761599;390;390;ZIPAEMG 4
2/02/2024;ENDG;360.1761599;360;360;ZIPAEMG 5
3/02/2024;EPSG;700.6761599;700.5;700.5;ALTO ANCHICAYA
3/02/2024;ISGG;337.6761599;337.5;337.5;AMOYA LA ESPERANZA
3/02/2024;TBSG;1023.48216;1023.306;1023.306;BARRANQUILLA 3
3/02/2024;TBSG;1038.83116;1038.655;1038.655;BARRANQUILLA 4
3/02/2024;ENDG;682.1761599;682;682;BETANIA
3/02/2024;EPSG;700.1761599;700;700;CALIMA
3/02/2024;HDPG;81.17615988;81.00001;81;CARLOS LLERAS
3/02/2024;NTCG;1303.49316;1303.317;1303.317;CARTAGENA 1
3/02/2024;NTCG;1373.94816;1373.772;1373.772;CARTAGENA 2
3/02/2024;NTCG;1463.52816;1463.352;1463.352;CARTAGENA 3
3/02/2024;CHVG;684.1761599;684;684;CHIVOR
3/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
3/02/2024;ENDG;100.1761599;100;100;DARIO VALENCIA SAMPER
3/02/2024;ENDG;681.1761599;681;681;EL QUIMBO
3/02/2024;HDPG;81.17615988;81;81;ESCUELA DE MINAS
3/02/2024;EPMG;92.81615988;92.64003;92.64;ESMERALDA
3/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
3/02/2024;TMFG;470.1761599;470;470;FLORES I CC
3/02/2024;GECG;232.5641599;232.388;232.388;GECELCA 3
3/02/2024;GECG;226.9411599;226.765;226.765;GECELCA 32
3/02/2024;GECG;472.4221599;472.246;472.246;GUAJIRA 1
3/02/2024;GECG;546.0201599;545.844;545.844;GUAJIRA 2
3/02/2024;EPMG;89.96615988;89.79001;89.79;GUATAPE
3/02/2024;EPMG;750.1761599;750;750;GUATRON
3/02/2024;ENDG;715.1761599;715;715;GUAVIO
3/02/2024;EPMG;92.81615988;92.64002;92.64;ITUANGO
3/02/2024;ISGG;861.1761599;861;861;JAGUAS
3/02/2024;EPMG;89.96615988;89.79;89.79;LA TASAJERA
3/02/2024;EPSG;968.5811599;968.405;968.405;MERILECTRICA 1
3/02/2024;ISGG;710.1761599;710;710;MIEL I
3/02/2024;ENDG;94.47615988;94.3;94.3;PAGUA
3/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
3/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
3/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
3/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
3/02/2024;EPMG;92.81615988;92.64001;92.64;PLAYAS
3/02/2024;EPMG;89.96615988;89.79003;89.79;PORCE II
3/02/2024;EPMG;745.1761599;745;745;PORCE III
3/02/2024;EPSG;710.1761599;710.00001;710;PRADO
3/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 1
3/02/2024;PRIG;524.7661599;524.59;524.59;PROELECTRICA 2
3/02/2024;ENDG;101.1761599;101;101;SALTO II
3/02/2024;EPSG;999.1761599;999;999;SALVAJINA
3/02/2024;ISGG;89.96615988;89.79004;89.79;SAN CARLOS
3/02/2024;EPMG;92.81615988;92.64;92.64;SAN FRANCISCO
3/02/2024;ISGG;89.96615988;89.79002;89.79;SAN MIGUEL
3/02/2024;ISGG;705.1761599;705;705;SOGAMOSO
3/02/2024;TRMG;120.1561599;119.98;119.98;TASAJERO 1
3/02/2024;TERG;120.4561599;120.28;120.28;TASAJERO 2
3/02/2024;TBSG;611.5571599;603.567;603.567;TEBSAB CC
3/02/2024;TCIG;664.6441599;664.468;664.468;TERMOCANDELARIA CC
3/02/2024;TCNG;1934.60816;1934.432;1934.432;TERMOCENTRO CC
3/02/2024;EPMG;2714.67716;2714.501;2714.501;TERMODORADA 1
3/02/2024;TEMG;1959.17116;1958.995;1958.995;TERMOEMCALI CC
3/02/2024;TMNG;960.1761599;960;960;TERMONORTE
3/02/2024;EPMG;1378.966535;1303.888;1303.888;TERMOSIERRA CC
3/02/2024;TMVG;618.8011599;507;507;TERMOVALLE CC
3/02/2024;TYPG;500.1761599;500;500;TERMOYOPAL 1
3/02/2024;TYPG;87.17615988;87.00001;87;TERMOYOPAL 2
3/02/2024;TYPG;87.17615988;87.00002;87;TERMOYOPAL G3
3/02/2024;TYPG;87.17615988;87;87;TERMOYOPAL G4
3/02/2024;TYPG;100.1761599;100.00001;100;TERMOYOPAL G5
3/02/2024;EPSG;228.0491599;227.873;227.873;TESORITO
3/02/2024;EMUG;740.1761599;740;740;URRA
3/02/2024;ENDG;411.1761599;411;411;ZIPAEMG 2
3/02/2024;ENDG;370.1761599;370;370;ZIPAEMG 3
3/02/2024;ENDG;390.1761599;390;390;ZIPAEMG 4
3/02/2024;ENDG;360.1761599;360;360;ZIPAEMG 5
4/02/2024;EPSG;692.1761599;692;692;ALTO ANCHICAYA
4/02/2024;ISGG;250.1761599;250;250;AMOYA LA ESPERANZA
4/02/2024;TBSG;1011.06316;1010.887;1010.887;BARRANQUILLA 3
4/02/2024;TBSG;1026.22616;1026.05;1026.05;BARRANQUILLA 4
4/02/2024;ENDG;640.1761599;640;640;BETANIA
4/02/2024;EPSG;700.1761599;700;700;CALIMA
4/02/2024;HDPG;81.17615988;81.00001;81;CARLOS LLERAS
4/02/2024;NTCG;1303.49316;1303.317;1303.317;CARTAGENA 1
4/02/2024;NTCG;1373.94816;1373.772;1373.772;CARTAGENA 2
4/02/2024;NTCG;1463.52816;1463.352;1463.352;CARTAGENA 3
4/02/2024;CHVG;677.1761599;677;677;CHIVOR
4/02/2024;EPSG;97.96615988;97.79;97.79;CUCUANA
4/02/2024;ENDG;100.1761599;100.00001;100;DARIO VALENCIA SAMPER
4/02/2024;ENDG;420.1761599;420;420;EL QUIMBO
4/02/2024;HDPG;81.17615988;81;81;ESCUELA DE MINAS
4/02/2024;EPMG;92.81615988;92.64;92.64;ESMERALDA
4/02/2024;TMFG;440.1761599;440;440;FLORES 4 CC
4/02/2024;TMFG;470.1761599;470;470;FLORES I CC
4/02/2024;GECG;232.5641599;232.388;232.388;GECELCA 3
4/02/2024;GECG;226.9411599;226.765;226.765;GECELCA 32
4/02/2024;GECG;472.4221599;472.246;472.246;GUAJIRA 1
4/02/2024;GECG;546.0201599;545.844;545.844;GUAJIRA 2
4/02/2024;EPMG;89.96615988;89.79002;89.79;GUATAPE
4/02/2024;EPMG;92.81615988;92.64003;92.64;GUATRON
4/02/2024;ENDG;641.1761599;641;641;GUAVIO
4/02/2024;EPMG;92.81615988;92.64002;92.64;ITUANGO
4/02/2024;ISGG;400.1761599;400;400;JAGUAS
4/02/2024;EPMG;710.1761599;710;710;LA TASAJERA
4/02/2024;EPSG;88.75315988;88.577;88.577;MERILECTRICA 1
4/02/2024;ISGG;861.1761599;861;861;MIEL I
4/02/2024;ENDG;89.96515988;89.789;89.789;PAGUA
4/02/2024;HIMG;394.2361599;394.06;394.06;PAIPA 1
4/02/2024;HIMG;357.6631599;357.487;357.487;PAIPA 2
4/02/2024;HIMG;374.8141599;374.638;374.638;PAIPA 3
4/02/2024;SOCG;291.7461599;291.57;291.57;PAIPA 4
4/02/2024;EPMG;92.81615988;92.64004;92.64;PLAYAS
4/02/2024;EPMG;750.1761599;750;750;PORCE II
4/02/2024;EPMG;745.1761599;745;745;PORCE III
