MPO,FechaHora,Aportes Caudal m3/s,Aportes %,Volumen Útil Diario Mm3,Volumen Útil Diario Energía kWh,Volumen Útil Díario %,Volumen Mm3,Volumen Energía kWh,Volumen %
876.6,2016-02-27 11:00:00,32.03225,0.6361211566892857,227.33517391304346,331390965.2173913,0.3952173913043478,344.49082608695653,398780965.2173913,0.4995217391304348
876.6,2016-02-28 11:00:00,26.166,0.5400644294074074,225.4855652173913,329886873.9130435,0.39495652173913043,342.64121739130434,397276882.6086956,0.4997391304347826
876.61,2016-02-29 11:00:00,22.739964285714283,0.5104105105178571,222.56678260869566,327068234.7826087,0.3783478260869565,339.7224347826087,394458243.4782609,0.48613043478260876
464.0,2016-02-01 12:00:00,19.761321428571428,0.4712194485666667,283.1401739130435,389811017.3913044,0.5036086956521739,402.5245217391304,457587039.1304348,0.5910869565217391
481.12,2016-02-02 12:00:00,17.3295,0.44874255865925927,281.08404347826087,386533904.34782606,0.49234782608695654,400.4683913043478,454309921.73913044,0.5821304347826086
475.0,2016-02-03 12:00:00,18.403285714285715,0.5258360578538462,277.7052608695652,382938378.26086956,0.4870434782608696,397.08960869565215,450714400.0,0.5759565217391305
478.0,2016-02-04 12:00:00,17.043,0.4533106615192307,275.163,379171682.6086956,0.47482608695652173,394.54734782608693,446947704.34782606,0.5654347826086957
484.76,2016-02-05 12:00:00,21.150178571428572,0.5528467291444444,272.0354782608696,376114373.9130435,0.4806521739130435,391.4198260869565,443890391.3043478,0.5720434782608695
487.0,2016-02-06 12:00:00,20.138321428571427,0.48906158686153844,271.0192608695652,373652352.17391306,0.4767391304347826,390.40360869565217,441428382.6086956,0.5689565217391305
450.0,2016-02-07 12:00:00,18.73671428571428,0.46586902448518513,270.28573913043476,371850382.6086956,0.47452173913043477,389.67008695652174,439626391.3043478,0.567695652173913
465.0,2016-02-08 12:00:00,21.709321428571428,0.5272870004428571,267.84608695652173,369610304.34782606,0.48126086956521735,387.23043478260865,437386321.73913044,0.5722608695652174
455.0,2016-02-09 12:00:00,27.229892857142858,0.5379921593035715,266.4485652173913,367359830.4347826,0.47565217391304343,383.6042173913043,434749847.82608694,0.5668695652173913
460.0,2016-02-10 12:00:00,24.483392857142857,0.5807005629222223,263.17452173913045,364410086.95652175,0.457,380.3301739130435,431800086.95652175,0.5516521739130436
460.0,2016-02-11 12:00:00,28.209607142857145,0.6293385293928572,261.49852173913047,361989443.4782609,0.4508260869565217,378.6541739130435,429379443.4782609,0.5475652173913044
465.0,2016-02-12 12:00:00,26.983285714285717,0.5776820867793104,260.5203043478261,359658308.6956522,0.45130434782608697,377.6759565217391,427048308.6956522,0.5466521739130435
536.1,2016-02-13 12:00:00,22.085071428571432,0.5430484073214286,259.46308695652175,357172486.95652175,0.4508260869565217,376.6187391304348,424562491.3043478,0.5463913043478261
583.1,2016-02-14 12:00:00,21.746964285714284,0.5842567874259259,258.88121739130435,355733300.0,0.45443478260869563,376.0368695652174,423123313.04347825,0.5483478260869565
