FechaHora,Prediccion_MPO
2016-02-01 00:00:00,466.61677616759425
2016-02-02 00:00:00,440.00549545605304
2016-02-03 00:00:00,430.3040901023871
2016-02-04 00:00:00,470.96088074059713
2016-02-05 00:00:00,483.736495493146
2016-02-06 00:00:00,478.64422830267785
2016-02-07 00:00:00,484.519202267229
2016-02-08 00:00:00,361.44356768969374
2016-02-09 00:00:00,396.5372380064651
2016-02-10 00:00:00,384.9165718089751
2016-02-11 00:00:00,474.19507389766665
2016-02-12 00:00:00,465.0946129658883
2016-02-13 00:00:00,494.1956006115853
2016-02-14 00:00:00,555.8830213323888
2016-02-15 00:00:00,462.0444952322356
2016-02-16 00:00:00,548.1025664495879
2016-02-17 00:00:00,911.6679747637007
2016-02-18 00:00:00,924.277882373481
2016-02-19 00:00:00,935.3077466201809
2016-02-20 00:00:00,945.5367077050448
2016-02-21 00:00:00,922.5356722821031
2016-02-22 00:00:00,837.3690396952851
2016-02-23 00:00:00,352.58549863892364
2016-02-24 00:00:00,942.8826430636466
2016-02-25 00:00:00,927.2414113827733
2016-02-26 00:00:00,942.611218023745
2016-02-27 00:00:00,921.4009314235759
2016-02-28 00:00:00,920.4769261577327
2016-02-29 00:00:00,921.3977919266263
2016-02-01 01:00:00,457.4743175522733
2016-02-02 01:00:00,439.70250250055733
2016-02-03 01:00:00,429.1989404331532
2016-02-04 01:00:00,467.52520777173544
2016-02-05 01:00:00,456.5039324088167
2016-02-06 01:00:00,462.30969544096774
2016-02-07 01:00:00,483.80105506002934
2016-02-08 01:00:00,370.08132277712764
2016-02-09 01:00:00,384.2973306622294
2016-02-10 01:00:00,382.7021072296522
2016-02-11 01:00:00,477.0697370146563
2016-02-12 01:00:00,473.8230754933059
2016-02-13 01:00:00,501.8317953126491
2016-02-14 01:00:00,552.12790710162
2016-02-15 01:00:00,424.6583986829132
2016-02-16 01:00:00,556.6100014620608
2016-02-17 01:00:00,888.2963631604556
2016-02-18 01:00:00,909.0401915842524
2016-02-19 01:00:00,899.036720722903
2016-02-20 01:00:00,931.6340136749405
2016-02-21 01:00:00,931.6500622196069
2016-02-22 01:00:00,444.9846449959806
2016-02-23 01:00:00,354.6096823341892
2016-02-24 01:00:00,931.7846226450108
2016-02-25 01:00:00,928.7855624073588
2016-02-26 01:00:00,924.937205141874
2016-02-27 01:00:00,933.1714670462541
2016-02-28 01:00:00,928.3278211755601
2016-02-29 01:00:00,927.4915713773081
2016-02-01 02:00:00,455.68642027133023
2016-02-02 02:00:00,446.7789137882476
2016-02-03 02:00:00,406.0501231596869
2016-02-04 02:00:00,464.70442460138406
2016-02-05 02:00:00,424.2935735215239
2016-02-06 02:00:00,462.68639974184043
2016-02-07 02:00:00,472.10738832429683
2016-02-08 02:00:00,373.3763081259429
2016-02-09 02:00:00,392.99916424064764
2016-02-10 02:00:00,384.01157222349826
2016-02-11 02:00:00,470.35169844144764
2016-02-12 02:00:00,429.52815554368175
2016-02-13 02:00:00,503.73961161586095
2016-02-14 02:00:00,554.7267852121523
2016-02-15 02:00:00,422.2602101568757
2016-02-16 02:00:00,547.8535194223715
2016-02-17 02:00:00,896.7385326139777
2016-02-18 02:00:00,906.238560741729
2016-02-19 02:00:00,944.3971942738891
2016-02-20 02:00:00,921.8871403983218
2016-02-21 02:00:00,945.242399046502
2016-02-22 02:00:00,358.75073331571514
2016-02-23 02:00:00,362.68978570702956
2016-02-24 02:00:00,927.8935782473777
2016-02-25 02:00:00,930.8919840231689
2016-02-26 02:00:00,921.3583599127184
2016-02-27 02:00:00,944.2527860412091
2016-02-28 02:00:00,939.7857643333533
2016-02-29 02:00:00,927.552152800366
2016-02-01 03:00:00,446.7249731837889
2016-02-02 03:00:00,447.1818935089159
2016-02-03 03:00:00,401.3320058595861
2016-02-04 03:00:00,453.63311566919515
2016-02-05 03:00:00,427.05031540605336
2016-02-06 03:00:00,457.9341151018806
2016-02-07 03:00:00,462.08131940366127
2016-02-08 03:00:00,365.78452857565054
2016-02-09 03:00:00,388.0956287139087
2016-02-10 03:00:00,376.17540413018105
2016-02-11 03:00:00,467.52120991095825
2016-02-12 03:00:00,430.826027899298
2016-02-13 03:00:00,474.9732352941187
2016-02-14 03:00:00,557.5793399869699
2016-02-15 03:00:00,421.1139612439166
2016-02-16 03:00:00,549.28987120881
2016-02-17 03:00:00,906.5421171142093
2016-02-18 03:00:00,909.3899560581455
2016-02-19 03:00:00,921.9138612388207
2016-02-20 03:00:00,925.2861272951101
2016-02-21 03:00:00,943.1298393401904
2016-02-22 03:00:00,362.5308583427109
2016-02-23 03:00:00,358.1642977261507
2016-02-24 03:00:00,922.1447681671652
2016-02-25 03:00:00,938.6757147497095
2016-02-26 03:00:00,931.6263052182729
2016-02-27 03:00:00,925.0906470333413
2016-02-28 03:00:00,922.5957659225772
2016-02-29 03:00:00,927.5261264208777
2016-02-01 04:00:00,453.18959421580564
2016-02-02 04:00:00,447.56039299688433
2016-02-03 04:00:00,418.8324366023664
2016-02-04 04:00:00,462.86095873384164
2016-02-05 04:00:00,451.8373756932307
2016-02-06 04:00:00,452.47152366247786
2016-02-07 04:00:00,470.14773809726415
2016-02-08 04:00:00,390.6131262084046
2016-02-09 04:00:00,388.34445981384016
2016-02-10 04:00:00,381.1790192440742
2016-02-11 04:00:00,477.88824861440344
2016-02-12 04:00:00,472.52828532229654
2016-02-13 04:00:00,495.82037306005657
2016-02-14 04:00:00,566.5273754836231
2016-02-15 04:00:00,443.0149161661587
2016-02-16 04:00:00,557.104919887211
2016-02-17 04:00:00,886.4531813514681
